,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2088,5.272083162076285,4.402862643464336,3.9551395795856195,3.08228873898463,5.517416977207375,6.795536725081651,4.910798470445731,5.582270297993015,3.4699829695696898,5.489573678446845,4.593810710262763,3.6765430308936025,5.8292717933654785,5.571094445325197,3.460189972725923,3.9641184008972536,4.186646616315007
tas,2089,5.200060549587728,4.531670298021766,3.858484070496653,2.8488607651528923,5.694704720801563,6.830972884305301,4.976953159093753,5.516490107328622,3.476817538263257,5.387573844226059,4.544835348089255,3.7037033779925914,6.0210394859313965,5.63332863463648,3.783896332794029,3.9168935607476576,4.1405073205813965
tas,2090,5.389301915339431,4.6633452720003135,3.7784708549650454,3.0388671647410113,5.59364500682688,6.864248872469555,5.312609911802819,5.590332888323037,3.5883657394187147,5.264309846194483,4.643215288376685,3.68378624044117,6.141207218170166,5.710457192456924,3.980226134539412,3.880525498280349,4.284429874402799
tas,2091,5.496175814593973,4.721548469761586,3.9537695243285547,3.1211237760132917,5.815204945879851,7.169503587967109,5.44002900576659,5.967392176647318,3.6171057584272197,5.509871051294756,4.6738906714737,3.780929019931117,6.091725826263428,5.930807541825213,3.7118775623659985,3.9865903245537972,4.456510736244819
tas,2092,5.557925002912754,4.727059102513323,3.8882399731549904,3.203673656776104,5.8277188413511425,7.08048144949791,5.2551096777600845,5.7370571346421,3.657600867944884,5.721688814242914,4.825414239606928,3.9115392900227732,6.1002984046936035,5.747476300681304,3.7136302755036468,3.9455815798019245,4.420007816658678
tas,2093,5.554929879174026,4.752967634586071,4.105192368152544,3.2368707863868877,5.964416323763818,7.184928886551376,5.259436352169264,5.719228683113864,3.7828367362216775,5.810568476547601,5.025193963411837,3.976501623426292,6.068639278411865,5.81521593869184,3.860851875341993,4.031346770978122,4.376193813597534
tas,2094,5.783384550922747,4.851510583396281,4.16125377563993,3.309469110363736,6.018803710588538,7.265846328278935,5.613536608260844,5.971298705038303,3.662518281346029,5.887717447200411,4.759986842050452,3.933899411962969,6.160891056060791,6.022654716728738,4.103760123603972,4.059583804138522,4.611469826426287
tas,2095,5.873682504493587,4.89144933941958,4.132572411028231,3.2884842142607957,6.107921637487631,7.358036203158079,5.773541920666399,6.2251833095016975,3.8062622588848853,5.82056084553236,4.9716561105771575,3.9183229566123523,6.436922550201416,6.0530784197341205,4.036650162832349,4.125323526918095,4.476808569072996
tas,2096,5.951133133968639,4.841529061318691,4.227405115292967,3.3231198585651733,6.294687482105895,7.56397322244473,5.547779423004353,6.021134768402898,3.9249659851510046,5.793993748149997,5.160063874110269,3.9789318047636946,6.549662113189697,6.0400669140263785,3.9514219906817423,4.100971709312129,4.670523264357887
tas,2097,5.915030950790566,4.93357109380085,4.2178822147459085,3.4190161734241165,6.191231989813052,7.4692723304972235,5.736057736626279,6.221019094512911,3.864357374032361,5.966762026748171,5.280734980780314,4.065674387249459,6.435694217681885,6.125062500914926,4.074033694322314,4.198740054696482,4.8892932702292455
tas,2098,6.105105737450539,4.961893782372144,4.258348123709037,3.619746799281529,6.221596777472338,7.466399969416912,5.835605423712299,6.3832463257226335,3.980362059568151,6.118009080041934,5.14430652030471,4.066866554108728,6.6717705726623535,6.199241263065626,4.461008288070654,4.545285399998998,4.580598305489555
tas,2099,6.209790421975242,5.047520600651471,4.365098779975663,3.187086450780882,6.2869322161179895,7.728266760192028,6.186800443828304,6.498352818489745,4.053262712472133,6.076502366925392,5.083038474367787,3.988186161504345,6.91106653213501,6.319182700490302,4.264946077167967,4.458984861672822,4.686244275665587
